Product/s,Application/s,Component/s,Region(s),"Measures, Solutions & Updates",Summary,Description,Customer/s
BTN8962TA,None,,JAPAN,thanks,"application note, rev 0.6, p.77, figure 83","ANDEN thinks the dotted color is NOT orange.  It appears purple.  Is ANDEN understanding correct?_x000D_
If their understanding is correct, would you correct it in the next version of the ap note?_x000D_
",ZF
BTN8962TA,None,,JAPAN,thanks,"application note, rev 0.6, p.77, figure 83",ANDEN thinks tdr must be a typo.  it should be tdf.  is ANDEN understanding correct?,DENSO
BTN8962TA,None,,JAPAN,thanks,"Application Note Rev 0.6 p.77, Figure 83, typo?","See attached picutre, ANDEN thinks tdr is a typo and it should be tdf.",CONTINENTAL
TLE4941-1CTLE4941CTLE4941PLUSCTLE5041PLUSCTLE5046IC-AK-ERR,ATV_CHASSIS_ABS/BRAKING,,JAPAN,"You can answer to the customer that TLE5046iC and also the other speed sensors you mentioned do not have any specific higher risk of failure at a certain frequency, all the frequencies are equally safe.",The failure frequency,"Sumitomo has new question._x000D_
_x000D_
Now they are re considering their verification plan and encoder frequency for verification._x000D_
They would like to know if there's any specific frequency which has potential failure of output behavior._x000D_
(For example, TLE5046iC datasheet describes input frequency spec as 0Hz-3000Hz.But specific 1500Hz-1600Hz area have possibility of potential failure, they would like to know and they need to add their test for above frequency range)_x000D_
_x000D_
And they need to know this information for all product which they have used ever since. (TLE5046-AK-ERR, TLE5041plusC, TLE4941plusC, TLE4941C, TLE4941-1C)_x000D_
_x000D_
I think there's no such weak frequency area, and there's no potential failure which depends on such input frequency._x000D_
Is this correct?_x000D_
If so, I would like to answer them ""No"" and close this topic._x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
 _x000D_
",DENSO
BTS7004-1EPP,ATV_BODY_POWER_DISTRIBUTION,,JAPAN,See attached file,Rds(ON) characteristics by load current,"customer requests to show Rds(ON) characteristics by load current._x000D_
The fixed temperature and Vs (eg, room and Vs=13.5V) is OK._x000D_
Please provide Rds(on) vs characterization data.  ",CONTINENTAL
BTN8982TA,None,,JAPAN,,Expected voltages if the Ris is open as a failure situation,"Two questions:_x000D_
A)	If the Ris is open as a failure situation, how much voltage they have to assume as the worst case?_x000D_
In the datasheet, the max rating of the IS pin is from -20V to 40V.  Therefore, do they have to assume it from -20V to 40V?_x000D_
_x000D_
B)	If they should protect the uC pin, what do you recommend?_x000D_
Do you recommend to put an appropriate Zener diode between the GND and IS line?_x000D_
_x000D_
The application is PTG.",ARROW
TLE5046IC-AK-ERRTLE5046IC-PWM-R050,None,,EMEA,Solved to remove it from Open tickets,"TEST, PLEASE IGNORE! - Visibiltiy extension to account team",TEst of visibility for account team,DABO
TLE4955C_E4807,ATV_BODY_DASHBOARD,,EMEA,Solved to remove it from Open tickets,"TEST, PLEASE IGNORE! - Example of iSOLAR ticket",This is an example of description for an iSOLAR ticket,AVNET
SAK-TC233L-32F200F_ABTLE4921-5UTLE4929C-XAN-M28TLE4989CTLE5028C-XAA-D28TLE5028C-XBA-D28TLE5028CB-XAN-D28TLE5309D_E1211TLE5309D_E2211TLE5309D_E5201TLE9268-2QX,None,,EMEA,measures Solutions 2,EFI-test 1 by it please ignore,"test 1 by it please ignore_x000D_
updated1",ZF
TLE5046IC-PWM-R100,ATV_CHASSIS_ABS/BRAKING,,JAPAN,"From our design description:_x000D_
_x000D_
The algorithm used for direction detection exploits the systematic 90° phase shift between speed and direction paths obtained by a monocell and counteracts the susceptibility of the same GMR monocell to temperature drifts by special bias in case of small signals. Two direction detection modes are implemented:_x000D_
- Mono mode: for large signals, prevents signal distortion with large pitch_x000D_
- Pseudo differential mode: for small signals, increase stray field rejection and signal to noise ratio_x000D_
The selection of direction detection mode is done dynamically and the concept is therefore called “Hybrid”._x000D_
_x000D_
The extended pole wheel pitch range, in conjunction with large airgaps required in application, poses a serious challenge for direction detection._x000D_
The monocell approach is extremely sensitive to thermal drifts and GMR R0 drift over lifetime: the product performances can not be achieved for Bx<1mT where non-idealities dominate the signal behavior._x000D_
For this reason a hybrid concept is introduced: the ASIC can also bias the direction GMR with a current proportional to the current flowing in the whole bridge speed obtaining a pseudo differential behavior with suppression of common mode signals like stray fields and thermal drifts of R0._x000D_
_x000D_
The advantages are:_x000D_
- A differential behavior is generated, capable of suppressing stray fields and R0 drifts due to temperature/aging effect_x000D_
- The direction detection can also work with very low field as required by application_x000D_
_x000D_
The disadvantages are:_x000D_
- For large fields, the direction signal gets largely distorted and can create additional local minima with very small signal at speed zero crossing and impact on safety concept_x000D_
- The direction signal gets an amplitude reduction with increasing pole wheel pitches._x000D_
_x000D_
For the above considerations, the following hybrid approach is introduced:_x000D_
- Direction detection is by default set at pseudo differential mode after reset_x000D_
- Direction detection switches to monocell mode if speed signal exceeds a predetermined threshold or if mono mode is detected in valid microbreak_x000D_
- The pseudo differential mode can be restored by a signal watchdog",pseudo-diff to mono mode switch explanation,"Could you please help to explain the switching behavior from normal mode to mono mode?_x000D_
 (Previously, patricia and you show me the brief method and explained to me when it changes)_x000D_
 I hope to review by myself again, so if you have any slide, it's helpful to share it to me._x000D_
_x000D_
I will not show to customer, I only use for my understanding._x000D_
",NONE
